,code_module,code_presentation,region,highest_education,imd_band,num_of_prev_attempts,studied_credits,disability,final_result
0,AAA,2013J,East Anglian Region,HE Qualification,90-100%,0,240,N,Pass
1,AAA,2013J,Scotland,HE Qualification,20-30%,0,60,N,Pass
2,AAA,2013J,North Western Region,A Level or Equivalent,30-40%,0,60,Y,Withdrawn
3,AAA,2013J,South East Region,A Level or Equivalent,50-60%,0,60,N,Pass
4,AAA,2013J,West Midlands Region,Lower Than A Level,50-60%,0,60,N,Pass
5,AAA,2013J,Wales,A Level or Equivalent,80-90%,0,60,N,Pass
6,AAA,2013J,Scotland,HE Qualification,30-40%,0,60,N,Pass
7,AAA,2013J,North Western Region,A Level or Equivalent,90-100%,0,120,N,Pass
8,AAA,2013J,East Anglian Region,A Level or Equivalent,70-80%,0,90,N,Pass
9,AAA,2013J,North Region,Post Graduate Qualification,,0,60,N,Pass
10,AAA,2013J,South Region,Lower Than A Level,70-80%,0,60,N,Pass
11,AAA,2013J,East Anglian Region,A Level or Equivalent,20-30%,0,60,N,Pass
12,AAA,2013J,East Anglian Region,Lower Than A Level,60-70%,0,60,N,Pass
13,AAA,2013J,North Western Region,HE Qualification,50-60%,0,60,N,Pass
14,AAA,2013J,Scotland,Lower Than A Level,40-50%,0,60,N,Pass
15,AAA,2013J,East Anglian Region,A Level or Equivalent,70-80%,0,60,N,Withdrawn
16,AAA,2013J,West Midlands Region,A Level or Equivalent,60-70%,0,60,N,Pass
17,AAA,2013J,Ireland,HE Qualification,,0,60,N,Pass
18,AAA,2013J,East Anglian Region,A Level or Equivalent,10-20,0,150,N,Fail
19,AAA,2013J,South West Region,A Level or Equivalent,30-40%,0,60,N,Pass
20,AAA,2013J,East Midlands Region,A Level or Equivalent,30-40%,0,60,N,Pass
21,AAA,2013J,North Western Region,HE Qualification,0-10%,0,60,N,Pass
22,AAA,2013J,South Region,Lower Than A Level,70-80%,0,60,N,Withdrawn
23,AAA,2013J,Wales,Lower Than A Level,70-80%,0,60,N,Pass
24,AAA,2013J,Yorkshire Region,A Level or Equivalent,20-30%,0,60,N,Pass
25,AAA,2013J,South Region,Lower Than A Level,80-90%,0,60,N,Pass
26,AAA,2013J,North Western Region,A Level or Equivalent,30-40%,0,60,N,Pass
27,AAA,2013J,London Region,HE Qualification,60-70%,0,60,N,Pass
28,AAA,2013J,Ireland,Post Graduate Qualification,,0,60,N,Pass
29,AAA,2013J,South Region,HE Qualification,80-90%,0,60,N,Withdrawn
30,AAA,2013J,East Midlands Region,Lower Than A Level,20-30%,0,60,N,Pass
31,AAA,2013J,East Anglian Region,HE Qualification,80-90%,0,60,N,Pass
32,AAA,2013J,East Anglian Region,HE Qualification,90-100%,0,60,N,Pass
33,AAA,2013J,Yorkshire Region,Lower Than A Level,60-70%,0,60,N,Pass
