,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,num_of_prev_attempts,studied_credits,disability,sum_clicks,mean_clicks,final_result
0,AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,0,240,N,934.0,4.76530612244898,Pass
1,AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,0,60,N,1435.0,3.3372093023255816,Pass
2,AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,0,60,Y,281.0,3.6973684210526314,Withdrawn
3,AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,0,60,N,2158.0,3.2549019607843137,Pass
4,AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0,60,N,1034.0,2.9375,Pass
5,AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,0,60,N,2445.0,3.3817427385892116,Pass
6,AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0,60,N,1492.0,4.20281690140845,Pass
7,AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0,120,N,1428.0,2.689265536723164,Pass
8,AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0,90,N,1894.0,3.193929173693086,Pass
9,AAA,2013J,53025,M,North Region,Post Graduate Qualification,,0,60,N,3158.0,3.493362831858407,Pass
10,AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,0,60,N,1319.0,3.272952853598015,Pass
11,AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0,60,N,1732.0,3.2927756653992395,Pass
12,AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,0,60,N,1102.0,3.1942028985507247,Pass
13,AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0,60,N,3388.0,3.45361875637105,Pass
14,AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,0,60,N,2737.0,3.6013157894736842,Pass
15,AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0,60,N,171.0,3.1666666666666665,Withdrawn
16,AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,0,60,N,1053.0,5.136585365853659,Pass
17,AAA,2013J,71361,M,Ireland,HE Qualification,,0,60,N,2327.0,3.1964285714285716,Pass
18,AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,0,150,N,116.0,1.6111111111111112,Fail
19,AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,0,60,N,2992.0,3.9681697612732094,Pass
20,AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0,60,N,680.0,2.5092250922509227,Pass
21,AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0,60,N,1494.0,3.0120967741935485,Pass
22,AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,0,60,N,339.0,3.323529411764706,Withdrawn
23,AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,0,60,N,2839.0,7.3549222797927465,Pass
24,AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0,60,N,744.0,3.0617283950617282,Pass
25,AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,0,60,N,4104.0,4.495071193866375,Pass
26,AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0,60,N,1944.0,2.4891165172855314,Pass
27,AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0,60,N,1150.0,3.6741214057507987,Pass
28,AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,0,60,N,4777.0,4.815524193548387,Pass
29,AAA,2013J,106247,M,South Region,HE Qualification,80-90%,0,60,N,465.0,3.206896551724138,Withdrawn
30,AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0,60,N,733.0,3.316742081447964,Pass
31,AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,0,60,N,998.0,2.9096209912536444,Pass
32,AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,0,60,N,2343.0,3.9779286926994906,Pass
